data,valores
2012-07-01,24976.8
2012-08-01,27470.8
2012-09-01,32964.0
2012-10-01,25200.0
2012-11-01,28065.2
2012-12-01,32063.8
2013-01-01,27586.8
2013-02-01,25528.9
2013-03-01,27850.8
2013-04-01,31448.3
2013-05-01,27457.7
2013-06-01,27260.6
2013-07-01,27799.9
2013-08-01,30614.5
2013-09-01,37012.8
2013-10-01,28156.0
2013-11-01,30878.7
2013-12-01,36290.0
2014-01-01,29311.5
2014-02-01,27898.6
2014-03-01,29789.4
2014-04-01,29870.5
2014-05-01,30563.1
2014-06-01,31386.7
2014-07-01,31869.8
2014-08-01,33736.8
2014-09-01,41325.2
2014-10-01,30481.3
2014-11-01,36958.0
2014-12-01,41948.2
2015-01-01,31934.1
2015-02-01,32865.0
2015-03-01,33799.1
2015-04-01,33564.0
2015-05-01,34897.9
2015-06-01,33866.5
2015-07-01,33748.2
2015-08-01,33119.2
2015-09-01,37283.0
2015-10-01,45848.7
2015-11-01,41117.7
2015-12-01,45653.6
2016-01-01,35910.0
2016-02-01,38277.6
2016-03-01,39030.2
2016-04-01,38944.5
2016-05-01,40678.0
2016-06-01,39197.8
2016-07-01,39408.4
2016-08-01,43841.2
2016-09-01,52857.2
2016-10-01,39503.0
2016-11-01,47596.4
2016-12-01,53681.4
2017-01-01,40366.3
2017-02-01,41950.0
2017-03-01,42128.8
2017-04-01,43125.2
2017-05-01,47431.7
2017-06-01,42622.9
2017-07-01,43141.3
2017-08-01,47185.8
2017-09-01,58481.8
2017-10-01,43989.5
2017-11-01,48275.9
2017-12-01,58850.9
2018-01-01,43444.3
2018-02-01,44404.8
2018-03-01,49685.2
2018-04-01,44964.8
2018-05-01,46181.2
2018-06-01,44862.7
2018-07-01,45276.2
2018-08-01,49348.2
2018-09-01,61736.9
2018-10-01,45259.6
2018-11-01,49978.0
2018-12-01,62392.3
2019-01-01,46359.3
2019-02-01,46746.8
2019-03-01,54110.5
2019-04-01,47678.9
2019-05-01,47625.2
2019-06-01,47743.8
2019-07-01,48346.4
2019-08-01,53610.4
2019-09-01,66122.6
2019-10-01,48581.8
2019-11-01,54400.6
2019-12-01,66501.2
2020-01-01,48517.7
2020-02-01,50935.6
2020-03-01,50385.9
2020-04-01,56193.8
2020-05-01,75020.8
2020-06-01,76928.5
2020-07-01,50861.3
2020-08-01,50123.5
2020-09-01,51062.5
2020-10-01,51129.4
2020-11-01,51865.9
2020-12-01,52449.1
2021-01-01,51554.8
2021-02-01,53558.7
2021-03-01,54741.3
2021-04-01,53975.6
2021-05-01,61473.8
2021-06-01,89235.1
2021-07-01,74592.1
2021-08-01,53777.7
2021-09-01,55006.7
2021-10-01,54481.3
2021-11-01,53909.9
2021-12-01,55550.4
2022-01-01,55692.6
2022-02-01,59061.5
2022-03-01,61552.1
2022-04-01,67072.1
2022-05-01,88995.5
2022-06-01,83429.0
2022-07-01,61424.5
2022-08-01,71733.8
2022-09-01,61764.7
2022-10-01,61699.1
2022-11-01,61685.7
2022-12-01,62865.9
2023-01-01,62712.3
2023-02-01,65127.6
2023-03-01,65797.1
2023-04-01,66539.5
2023-05-01,82421.9
2023-06-01,97632.6
2023-07-01,90507.7
2023-08-01,67196.8
2023-09-01,69552.8
2023-10-01,67015.1
2023-11-01,68196.7
2023-12-01,96173.3
2024-01-01,68430.3
2024-02-01,71736.7
2024-03-01,72460.0
2024-04-01,80743.1
2024-05-01,110107.1
2024-06-01,94632.5
2024-07-01,73375.9
2024-08-01,72622.9
2024-09-01,75474.7
2024-10-01,72884.0
2024-11-01,73143.9
2024-12-01,72933.3
2025-01-01,73241.5
2025-02-01,77098.4
2025-03-01,77631.3
2025-04-01,87224.2
2025-05-01,112050.6
2025-06-01,105348.1
2025-07-01,97899.0
2025-08-01,78538.6
2025-09-01,78865.7
2025-10-01,78674.4
2025-11-01,79371.9
2025-12-01,80928.8
