data,forecast_ensemble,forecast_gru,forecast_lstm,forecast_gbrt,ic68_inf,ic68_sup,ic95_inf,ic95_sup
2030-11-01,139638.46675426603,139698.46408715096,139587.79316615258,139629.14300949455,107521.61940078485,171755.31410774722,76689.44594144291,202587.48756708918
2030-12-01,190500.67959433937,190567.55876772126,190414.5261390172,190519.95387627961,146394.38947819546,234606.96971048327,104052.3509666973,276949.0082219814
2031-01-01,141513.71185089002,141564.05623122514,141449.17144472123,141527.90787672368,108534.43796696667,174492.98573481335,76874.33503840028,206153.08866337975
2031-02-01,150216.2707782169,150270.2845139131,150147.10610120973,150231.42171952777,114982.30876418269,185450.2327922511,81157.70523070983,219274.83632572394
2031-03-01,148919.23097373478,148973.16906523195,148850.15036353312,148934.37349243925,113766.30053253232,184072.16141493723,80019.48730897796,217818.9746384916
2031-04-01,168755.4061610354,168816.8929865605,168676.54776610775,168772.77773043796,128668.74433219367,208842.06798987713,90185.54897650563,247325.2633455652
2031-05-01,226158.79823524086,226230.19694738844,226041.04926077437,226205.14849755974,172101.64121638337,280215.95525409834,120206.77047828019,332110.8259922016
2031-06-01,200631.96670596325,200695.56188306515,200526.9785572953,200673.35967752925,152381.19531182112,248882.73810010537,106060.45477344465,295203.4786384818
2031-07-01,154590.0464571546,154639.20761189424,154508.79833162323,154622.1334279464,117186.06972151158,191994.02319279758,81278.2520552943,227901.84085901486
2031-08-01,152672.18162813995,152720.8789127181,152591.61686556533,152704.0491061364,115510.38015521163,189833.98310106827,79835.05074120045,225509.31251507942
2031-09-01,158040.2981919306,157312.36870651867,158692.21018377604,158116.3156854971,119343.5467759628,196737.0496078984,82194.66541663372,233885.9309672275
2031-10-01,153882.21760050973,153173.50593067412,154516.34085500007,153956.806015855,115982.59666591037,191781.83853510907,79598.96056869498,228165.47463232448
2031-11-01,154541.1321611883,153848.62285992946,155196.27398287508,154578.49964076033,116258.57671740722,192823.68760496934,79507.32349137742,229574.94083099917
2031-12-01,210830.34812464242,209885.84893362378,211722.69352871226,210882.5019115913,158304.67021046995,263356.0260388149,107880.01941286433,313780.67683642055
2032-01-01,156614.7592629925,155913.45756760216,157276.4414891829,156654.3787321925,117375.13005472774,195854.3884712573,79705.08601479357,233524.43251119147
2032-02-01,166245.09752042816,165501.12263575997,166946.13842350594,166288.0315020185,124359.25012659923,208130.9449142571,84148.83662852344,248341.35841233286
2032-03-01,164808.85729016704,164071.8272246396,165502.5242896644,164852.2203561971,123054.82250637973,206562.89207395437,82970.94911394392,246646.76546639015
2032-04-01,186760.74543099952,185926.15937575814,187545.39289171543,186810.68402552503,139185.9733149586,234335.51754704045,93514.19208355932,280007.29877843976
2032-05-01,250351.97613878906,249170.17818971028,251337.62953166867,250548.1206949882,186232.53883694648,314471.41344063164,124677.87902717758,376026.07325040054
2032-06-01,222117.15405621802,221046.01232282165,222966.75731741756,222338.69252841492,164924.10746199,279310.200650446,110018.78273153116,334215.52538090484
2032-07-01,171144.28353613024,170319.4305069968,171798.0042605888,171315.41584080516,126842.48022248808,215446.0868497724,84312.74904139164,257975.81803086886
2032-08-01,169020.6916817544,168206.4852213075,169665.5359856787,169190.05383827703,125038.922454119,213002.46090938977,82816.42399558904,255224.95936791974
2032-09-01,175396.71509091544,175754.62790031353,175260.51922731698,175174.9981451158,129518.70982625849,221274.7203555724,85475.82477218783,265317.60540964303
2032-10-01,170798.78020624342,171128.84345253624,170648.31517951068,170619.18198668334,125893.74854530572,215703.81186718112,82784.91815080555,258812.6422616813
2032-11-01,171493.2836405392,171859.53682375434,171378.62180553807,171241.69229232523,126176.20371919393,216810.36356188444,82671.80699470248,260314.76028637588
2032-12-01,233956.93985208173,234454.32863293364,233802.66207036903,233613.8288529426,171822.3928389867,296091.48686517676,112173.2277064155,355740.65199774795
2033-01-01,173794.39196995235,174162.44831700783,173681.32071069028,173539.40688215895,127407.67357552836,220181.11036437636,82876.42391688131,264712.3600230234
2033-02-01,184481.39848020812,184870.83597421678,184362.9072936605,184210.45217274706,134999.0991187416,233963.69784167464,87496.09173173377,281466.7052286825
2033-03-01,182887.98903984975,183273.0436564142,182771.91949662808,182619.003966507,133593.20125662684,232182.77682307267,86270.20498473289,279505.7730949666
2033-04-01,207248.43853223269,207683.83040143186,207118.3519715256,206943.13322374068,151117.1332951126,263379.7437693528,97231.08026747731,317265.79679698806
2033-05-01,277816.3294237749,278398.8920636685,277643.71602131595,277406.3801863403,202211.48520750378,353421.1736400461,129630.83475988351,426001.82408766635
2033-06-01,246484.6611677179,247000.70794640164,246332.92678080176,246120.34877595026,179087.74347736497,313881.57885807083,114386.70249462618,378582.6198408096
2033-07-01,189920.22396363397,190317.30043806892,189804.3004234006,189639.07102943235,137745.4823568772,242094.96557039072,87657.73041439077,292182.71751287713
2033-08-01,187564.03392082313,187955.74362866973,187450.36591125885,187285.9922225408,135796.36055867595,239331.7072829703,86099.39413101468,289028.6737106316
2033-09-01,194878.01957659866,195273.07898205606,194991.37188780878,194369.60785993113,140843.2491313214,248912.7900218759,88969.86950385524,300786.1696493421
2033-10-01,189768.67015743407,190151.6452665219,189880.05687888752,189274.3083268928,136909.77746874766,242627.56284612048,86165.24048760871,293372.09982725943
2033-11-01,190579.7771010501,190921.97888798712,190652.48793067076,190164.86448449237,137254.2068506388,243905.34735146142,86061.65941024398,295097.89479185623
2033-12-01,259994.23043350098,260458.3920436658,260094.95708252597,259429.34217431123,186919.044972418,333069.415894584,116766.86692977835,403221.5939372236
2034-01-01,193135.48759488374,193478.70025862995,193211.25319376792,192716.50933225334,138610.13201889468,247660.8431708728,86265.79066594521,300005.1845238223
2034-02-01,205011.37546795417,205374.48496443374,205092.56220947907,204567.07922994968,146877.72575763517,263145.02517827315,91069.42203572893,318953.3289001794
2034-03-01,203240.3945889863,203599.57528515393,203321.42346404603,202800.1850177589,145356.7119258488,261124.07725212383,89788.37656923679,316692.4126087358
2034-04-01,230311.61856160624,230718.07147844002,230403.87030408607,229812.91390229258,164433.3697175347,296189.8674056778,101190.25082722602,359432.9862959865
2034-05-01,308732.42646633013,309276.79268837365,308856.500092994,308063.9866176227,220042.89074147615,397421.9621911841,134900.9364456164,482563.9164870439
2034-06-01,273914.08951720526,274396.79868832487,274024.43248253077,273321.03738076,194891.25930690498,352936.91972750553,119029.34230501673,428798.8367293938
2034-07-01,211055.0405822924,211426.84521303905,211140.21178040653,210598.06475343165,149909.27122741868,272200.8099371661,91209.33264673995,330900.7485178449
2034-08-01,208436.6756092878,208803.78511977723,208520.9006175241,207985.3410905621,147796.2884680985,269077.0627504771,89581.51681255679,327291.8344060188
2034-09-01,216543.06341883622,216766.88940481996,216639.27970796791,216223.0211437208,153282.3382650945,279803.78857257793,92552.04211750247,340534.08472016995
2034-10-01,210865.77744611548,211083.7784889571,210959.50948350586,210554.0443658834,149009.5796471366,272721.9752450944,89627.62976011686,332103.9251321141
2034-11-01,211767.1377985317,211986.11584897447,211861.30564329645,211453.99190332423,149392.45833297193,274141.81726409146,89512.76604603457,334021.50955102884
2034-12-01,288898.66494170786,289197.4900145798,289027.0901974054,288471.4146131385,203460.17148791606,374337.15839549963,121439.21777227595,456358.1121111398
2035-01-01,214607.03248663875,214829.0574214422,214702.4105124665,214289.62952600757,150884.04033865823,278330.02463461924,89709.96787659694,339504.0970966806
2035-02-01,227803.21319126754,228038.92466293977,227904.43077671435,227466.2841341485,159891.86966325797,295714.5567192771,94696.97987636879,360909.4465061663
2035-03-01,225835.346121412,226069.04284865188,225935.66790588183,225501.32760970228,158244.01796143578,293426.67428138823,93356.3429278586,358314.3493149654
2035-04-01,255916.17557265065,256181.01037011435,256029.8519253145,255537.66442252308,179020.85246447648,332811.4986808248,105201.34228062932,406631.008864672
2035-05-01,343055.2965584597,343410.3289715563,343207.6524244963,342547.9082793266,239575.35174801832,446535.2413689011,140234.6047299946,545875.9883869248
2035-06-01,304366.07777072495,304681.0750256787,304501.2415611513,303915.916725345,212201.2685907096,396530.88695074024,123723.05177789487,485009.103763555
2035-07-01,234518.76459762923,234761.48412815822,234622.89740154782,234171.91226318167,163231.74631544782,305805.7828798106,94796.20876455371,374241.32043070474
2035-08-01,231609.30320589317,231849.00970721134,231712.14229812913,231266.7576123391,160938.47679044947,302280.1296213369,93094.48343162349,370124.12298016285
2035-09-01,240190.75431114226,240768.38173437773,239486.22442629695,240317.6567727521,166624.38706262416,313757.12155966036,96000.67450404682,384380.83411823766
2035-10-01,233893.92610223647,234457.32317495573,233207.40222158827,234017.05291016545,161987.3603439256,305800.49186054734,92957.05721594719,374830.79498852574
2035-11-01,234894.3380020015,235461.43704750607,234204.2019674471,235017.37499105133,162411.2583942858,307377.4176097172,92827.50197087879,376961.17403312423
2035-12-01,320450.2040479908,321225.5527890397,319507.76916133484,320617.2901935978,221200.95922068166,419699.4488752999,125921.68418646495,514978.72390951664
2036-01-01,238045.36566140814,238622.35418588464,237344.67674800375,238169.06605033603,164047.83644960917,312042.8948732071,93010.20840628217,383080.52291653416
2036-02-01,252683.04517712918,253296.32968390884,251938.73027701632,252814.07557046245,173849.17467464617,331516.9156796122,98168.65899226244,407197.4313619959
2036-03-01,250500.39184973342,251108.96214377528,249762.06003316856,250630.15337225638,172064.82960805832,328935.9540914085,96766.68985605024,404234.0938434166
2036-04-01,283866.6069726951,284556.70779291657,283029.5101361483,284013.6029890204,194664.41450305266,373068.79944233753,109030.30973219594,458702.90421319427
2036-05-01,380522.7829117607,381448.3174858709,379400.17021672893,380719.8610326821,260521.07561934536,500524.49020417593,145319.43661862667,615726.1292048946
2036-06-01,337607.95897143317,338429.41290214006,336611.57013345713,337782.89387870225,230762.99599627836,444452.921946588,128191.83154012979,547024.0864027365
2036-07-01,260132.06304656205,260765.18945547624,259364.06207128032,260266.93761292959,177517.0247912902,342747.10130183387,98206.58806622923,422057.5380268949
2036-08-01,256904.74910255056,257530.16746748256,256146.03782469584,257038.0420154732,175029.88672270172,338779.6114823994,96430.01883804682,417379.47936705424
2036-09-01,265536.37738253525,267048.8223594793,263061.49551144836,266498.8142766781,180617.3069569477,350455.44780812284,99094.99934838359,431977.75541668694
2036-10-01,258500.31817371372,260051.58510932408,256159.2914491986,259290.07796261847,175546.81825818104,341453.8180892464,95911.45833926972,421089.1780081577
2036-11-01,259495.33988782126,261168.1835713113,257247.61536123007,260070.22073092248,175937.8404439428,343052.8393316997,95722.64097781954,423268.038797823
2036-12-01,354002.3428346394,356299.11285072414,350939.17701279395,354768.7386404003,239626.52873930353,468378.15692997526,129825.74720778111,578178.9384614978
2037-01-01,262968.5143215281,264678.42024565855,260688.3480572527,263538.7746616731,177718.57249743547,348218.45614562073,95878.62834630652,430058.40029674966
2037-02-01,279137.01851585554,280955.6355471215,276711.34719005524,279744.0728103898,188342.36632638762,369931.67070532346,101179.50022449845,457094.53680721263
2037-03-01,276723.60121485096,278529.73717203195,274313.3977026589,277327.66876986215,186414.42539889834,367032.77703080355,99717.61661558381,453729.58581411815
2037-04-01,313579.69537724863,315629.9137180241,310841.94204319164,314267.2303705301,210904.1703729905,416255.2203815067,112335.66636890279,514823.7243855944
2037-05-01,420348.6837458709,423101.66114946746,416669.61474950047,421274.7753386448,282261.7419057177,558435.6255860241,149698.27773917068,690999.0897525711
2037-06-01,372938.14868221415,375384.8512435019,369665.5957597256,373763.99904341495,250026.12325382404,495850.1741106043,132030.57884256955,613845.7185218587
2037-07-01,287404.24182029086,289239.68462341686,284822.86194562074,288150.178891835,192375.22696871893,382433.25667186273,101147.37271120989,473661.11092937185
